shutter_time,counts
0.00906253,31
0.00907367,43
0.0090848,38
0.00909593,36
0.00910707,30
0.0091182,34
0.00912933,35
0.00914047,45
0.0091516,30
0.00916273,40
0.00917387,28
0.009185,36
0.00919613,46
0.00920727,37
0.0092184,35
0.00922953,33
0.00924067,35
0.0092518,36
0.00926293,31
0.00927407,30
0.0092852,35
0.00929633,39
0.00930747,28
0.0093186,32
0.00932973,29
0.00934087,32
0.009352,30
0.00936313,34
0.00937427,42
0.0093854,39
0.00939653,31
0.00940767,31
0.0094188,39
0.00942993,45
0.00944107,33
0.0094522,43
0.00946333,26
0.00947447,27
0.0094856,30
0.00949673,30
0.00950787,36
0.009519,29
0.00953013,39
0.00954127,32
0.0095524,31
0.00956353,29
0.00957467,31
0.0095858,30
0.00959693,28
0.00960807,38
0.0096192,36
0.00963033,31
0.00964147,28
0.0096526,37
0.00966373,23
0.00967487,31
0.009686,31
0.00969713,30
0.00970827,32
0.0097194,36
0.00973053,28
0.00974167,29
0.0097528,37
0.00976393,38
0.00977507,35
0.0097862,43
0.00979733,24
0.00980847,35
0.0098196,43
0.00983073,43
0.00984187,31
0.009853,38
0.00986413,24
0.00987527,39
0.0098864,39
0.00989753,40
0.00990867,37
0.0099198,35
0.00993093,45
0.00994207,31
0.0099532,41
0.00996433,31
0.00997547,32
0.0099866,37
0.00999773,35
0.0100089,34
0.01002,33
0.0100311,41
0.0100423,32
0.0100534,35
0.0100645,24
0.0100757,29
0.0100868,43
0.0100979,32
0.0101091,35
0.0101202,34
0.0101313,34
0.0101425,35
0.0101536,38
0.0101647,34
0.0101759,26
0.010187,32
0.0101981,44
0.0102093,25
0.0102204,34
0.0102315,34
0.0102427,30
0.0102538,43
0.0102649,47
0.0102761,29
0.0102872,32
0.0102983,34
0.0103095,38
0.0103206,21
0.0103317,36
0.0103429,29
0.010354,43
0.0103651,31
0.0103763,28
0.0103874,29
0.0103985,46
0.0104097,32
0.0104208,41
0.0104319,34
0.0104431,29
0.0104542,32
0.0104653,30
0.0104765,29
0.0104876,36
0.0104987,44
0.0105099,40
0.010521,29
0.0105321,22
0.0105433,30
0.0105544,26
0.0105655,39
0.0105767,42
0.0105878,30
0.0105989,35
0.0106101,34
0.0106212,38
0.0106323,33
0.0106435,39
0.0106546,33
0.0106657,36
0.0106769,42
0.010688,31
0.0106991,29
0.0107103,34
0.0107214,31
0.0107325,35
0.0107437,34
0.0107548,35
0.0107659,27
0.0107771,43
0.0107882,27
0.0107993,30
0.0108105,38
0.0108216,33
0.0108327,38
0.0108439,41
0.010855,29
0.0108661,35
0.0108773,28
0.0108884,34
0.0108995,32
0.0109107,44
0.0109218,33
0.0109329,35
0.0109441,37
0.0109552,55
0.0109663,32
0.0109775,32
0.0109886,42
0.0109997,30
0.0110109,22
0.011022,40
0.0110331,32
0.0110443,25
0.0110554,37
0.0110665,38
0.0110777,33
0.0110888,43
0.0110999,33
0.0111111,37
0.0111222,39
0.0111333,37
0.0111445,33
0.0111556,24
0.0111667,35
0.0111779,35
0.011189,35
0.0112001,35
0.0112113,36
0.0112224,34
0.0112335,32
0.0112447,31
0.0112558,48
0.0112669,25
0.0112781,35
0.0112892,32
0.0113003,33
0.0113115,30
0.0113226,32
0.0113337,29
0.0113449,42
0.011356,47
0.0113671,31
0.0113783,33
0.0113894,34
0.0114005,31
0.0114117,32
0.0114228,34
0.0114339,28
0.0114451,38
0.0114562,32
0.0114673,24
0.0114785,25
0.0114896,27
0.0115007,36
0.0115119,25
0.011523,22
0.0115341,24
0.0115453,23
0.0115564,19
0.0115675,19
0.0115787,22
0.0115898,20
0.0116009,20
0.0116121,20
0.0116232,15
0.0116343,17
0.0116455,7
0.0116566,11
0.0116677,13
0.0116789,13
0.01169,7
0.0117011,4
0.0117123,6
0.0117234,12
0.0117345,5
0.0117457,3
0.0117568,6
0.0117679,5
0.0117791,2
0.0117902,2
0.0118013,1
0.0118125,2
0.0118236,2
0.0118347,3
0.0118459,1
0.011857,1
0.0118681,0
0.0118793,0
0.0118904,3
0.0119015,1
0.0119127,2
0.0119238,0
0.0119349,0
0.0119461,1
0.0119572,2
0.0119683,1
0.0119795,3
0.0119906,0
0.0120017,4
0.0120129,1
0.012024,2
0.0120351,1
0.0120463,0
0.0120574,2
0.0120685,2
0.0120797,2
0.0120908,3
0.0121019,2
0.0121131,4
0.0121242,3
0.0121353,0
0.0121465,2
0.0121576,1
0.0121687,1
0.0121799,1
0.012191,1
0.0122021,1
0.0122133,1
0.0122244,0
0.0122355,1
0.0122467,2
0.0122578,0
0.0122689,2
0.0122801,2
0.0122912,0
0.0123023,2
0.0123135,2
0.0123246,4
0.0123357,3
0.0123469,2
0.012358,2
0.0123691,1
0.0123803,1
0.0123914,3
0.0124025,1
0.0124137,3
0.0124248,3
0.0124359,2
0.0124471,7
0.0124582,6
0.0124693,3
0.0124805,3
0.0124916,3
0.0125027,8
0.0125139,3
0.012525,7
0.0125361,15
0.0125473,10
0.0125584,10
0.0125695,11
0.0125807,11
0.0125918,12
0.0126029,27
0.0126141,19
0.0126252,22
0.0126363,21
0.0126475,21
0.0126586,20
0.0126697,23
0.0126809,22
0.012692,25
0.0127031,29
0.0127143,32
0.0127254,33
0.0127365,26
0.0127477,23
0.0127588,27
0.0127699,27
0.0127811,35
0.0127922,29
0.0128033,26
0.0128145,36
0.0128256,29
0.0128367,36
0.0128479,33
0.012859,29
0.0128701,40
0.0128813,37
0.0128924,26
0.0129035,29
0.0129147,32
0.0129258,36
0.0129369,28
0.0129481,42
0.0129592,41
0.0129703,44
0.0129815,33
0.0129926,27
0.0130037,37
0.0130149,38
0.013026,36
0.0130371,35
0.0130483,38
0.0130594,33
0.0130705,46
0.0130817,41
0.0130928,36
0.0131039,32
0.0131151,44
0.0131262,44
0.0131373,45
0.0131485,41
0.0131596,36
0.0131707,43
0.0131819,24
0.013193,30
0.0132041,36
0.0132153,41
0.0132264,43
0.0132375,38
0.0132487,28
0.0132598,41
0.0132709,27
0.0132821,38
0.0132932,41
0.0133043,39
0.0133155,42
0.0133266,36
0.0133377,40
0.0133489,42
0.01336,34
0.0133711,45
0.0133823,39
0.0133934,35
0.0134045,33
0.0134157,35
0.0134268,34
0.0134379,37
0.0134491,29
0.0134602,31
0.0134713,26
0.0134825,50
0.0134936,28
0.0135047,41
0.0135159,29
0.013527,32
0.0135381,32
0.0135493,45
0.0135604,32
0.0135715,28
0.0135827,24
0.0135938,43
0.0136049,42
0.0136161,34
0.0136272,44
0.0136383,41
0.0136495,37
0.0136606,27
0.0136717,38
0.0136829,36
0.013694,42
0.0137051,39
0.0137163,32
0.0137274,26
0.0137385,42
0.0137497,44
0.0137608,29
0.0137719,44
0.0137831,33
0.0137942,28
0.0138053,45
0.0138165,33
0.0138276,36
0.0138387,43
0.0138499,53
0.013861,40
0.0138721,27
0.0138833,40
0.0138944,46
0.0139055,28
0.0139167,39
0.0139278,41
0.0139389,29
0.0139501,30
0.0139612,34
0.0139723,41
0.0139835,40
0.0139946,31
0.0140057,30
0.0140169,32
0.014028,35
0.0140391,34
0.0140503,47
0.0140614,38
0.0140725,34
0.0140837,40
0.0140948,46
0.0141059,51
0.0141171,38
0.0141282,45
0.0141393,37
0.0141505,37
0.0141616,54
0.0141727,31
0.0141839,47
0.014195,42
0.0142061,32
0.0142173,37
0.0142284,50
0.0142395,39
0.0142507,38
0.0142618,26
0.0142729,50
0.0142841,37
0.0142952,41
0.0143063,39
0.0143175,41
0.0143286,29
0.0143397,33
0.0143509,38
0.014362,53
0.0143731,32
0.0143843,38
0.0143954,41
0.0144065,37
0.0144177,40
0.0144288,38
0.0144399,58
0.0144511,39
0.0144622,48
0.0144733,42
0.0144845,54
0.0144956,27
0.0145067,35
0.0145179,39
0.014529,44
0.0145401,38
0.0145513,32
0.0145624,48
0.0145735,34
0.0145847,44
0.0145958,40
0.0146069,41
0.0146181,44
0.0146292,38
0.0146403,42
0.0146515,41
0.0146626,45
0.0146737,40
0.0146849,55
0.014696,41
0.0147071,45
0.0147183,41
0.0147294,39
0.0147405,34
0.0147517,44
0.0147628,41
0.0147739,43
0.0147851,38
0.0147962,38
0.0148073,46
0.0148185,40
0.0148296,39
0.0148407,43
0.0148519,33
0.014863,40
0.0148741,38
0.0148853,30
0.0148964,47
0.0149075,44
0.0149187,35
0.0149298,42
0.0149409,39
0.0149521,34
0.0149632,51
0.0149743,37
0.0149855,48
0.0149966,47
0.0150077,48
0.0150189,36
0.01503,39
0.0150411,42
0.0150523,56
0.0150634,62
0.0150745,30
0.0150857,41
0.0150968,36
0.0151079,40
0.0151191,40
0.0151302,34
0.0151413,45
0.0151525,31
0.0151636,40
0.0151747,34
0.0151859,29
0.015197,33
0.0152081,32
0.0152193,51
0.0152304,41
0.0152415,34
0.0152527,43
0.0152638,41
0.0152749,36
0.0152861,41
0.0152972,56
0.0153083,51
0.0153195,32
0.0153306,37
0.0153417,44
0.0153529,43
0.015364,42
0.0153751,40
0.0153863,33
0.0153974,41
0.0154085,39
0.0154197,31
0.0154308,49
0.0154419,41
0.0154531,47
0.0154642,31
0.0154753,34
0.0154865,44
0.0154976,49
0.0155087,38
0.0155199,44
0.015531,41
0.0155421,38
0.0155533,50
0.0155644,30
0.0155755,34
0.0155867,39
0.0155978,33
0.0156089,41
0.0156201,32
0.0156312,43
0.0156423,50
0.0156535,46
0.0156646,42
0.0156757,42
0.0156869,37
0.015698,32
0.0157091,49
0.0157203,46
0.0157314,43
0.0157425,30
0.0157537,43
0.0157648,35
0.0157759,35
0.0157871,42
0.0157982,35
0.0158093,35
0.0158205,40
0.0158316,26
0.0158427,38
0.0158539,35
0.015865,37
0.0158761,43
0.0158873,44
0.0158984,36
0.0159095,33
0.0159207,53
0.0159318,54
0.0159429,41
0.0159541,34
0.0159652,27
0.0159763,36
0.0159875,49
0.0159986,35
0.0160097,37
0.0160209,43
0.016032,39
